ejecutable;numElementos;tiempo
./mergesort;100000;0.0573279
./mergesort;200000;0.109488
./mergesort;300000;0.164706
./mergesort;400000;0.215482
./mergesort;500000;0.25878
./heapsort;100000;0.0408118
./heapsort;200000;0.0853198
./heapsort;300000;0.13298
./heapsort;400000;0.182154
./heapsort;500000;0.23313
./quicksort;100000;0.0137574
./quicksort;200000;0.0269233
./quicksort;300000;0.0415985
./quicksort;400000;0.0555178
./quicksort;500000;0.0701567
./insertionsort;100000;31.3852
./insertionsort;200000;125.878
./insertionsort;300000;272.165
./insertionsort;400000;487.859
