ejecutable;numElementos;tiempo
./mergesort;100000;0.032199
./mergesort;200000;0.0638159
./mergesort;300000;0.100778
./mergesort;400000;0.130849
./mergesort;500000;0.165325
./heapsort;100000;0.0270963
./heapsort;200000;0.0557016
./heapsort;300000;0.0861449
./heapsort;400000;0.143017
./heapsort;500000;0.151496
./quicksort;100000;0.00995537
./quicksort;200000;0.0196161
./quicksort;300000;0.0293863
./quicksort;400000;0.0399689
./quicksort;500000;0.0491861
./insertionsort;100000;21.8137
./insertionsort;200000;86.5869
./insertionsort;300000;190.486
./insertionsort;400000;336.818
./insertionsort;500000;527.663
./sort;100000;0.0102638
./sort;200000;0.021916
./sort;300000;0.034105
./sort;400000;0.0482701
./sort;500000;0.0570457
./timsort;100000;0.0185696
./timsort;200000;0.0403125
./timsort;300000;0.0578356
./timsort;400000;0.0830865
./timsort;500000;0.103681
./mergesort;100000;0.0330527
./mergesort;200000;0.0643608
./mergesort;300000;0.0985165
./mergesort;400000;0.130972
./mergesort;500000;0.165899
./heapsort;100000;0.0266924
./heapsort;200000;0.0567088
./heapsort;300000;0.0886447
./heapsort;400000;0.119754
./heapsort;500000;0.160668
./quicksort;100000;0.00989487
./quicksort;200000;0.0194947
./quicksort;300000;0.0300115
./quicksort;400000;0.0399231
./quicksort;500000;0.0497523
./insertionsort;100000;21.1301
./insertionsort;200000;84.3727
./insertionsort;300000;190.024
./insertionsort;400000;336.676
./insertionsort;500000;524.107
./sort;100000;0.0102565
./sort;200000;0.021727
./sort;300000;0.0342082
./sort;400000;0.0454952
./sort;500000;0.0559446
./timsort;100000;0.0184397
./timsort;200000;0.0395937
./timsort;300000;0.0608029
./timsort;400000;0.0796645
./timsort;500000;0.09727
./mergesort;100000;0.0320186
./mergesort;200000;0.0662878
./mergesort;300000;0.0972513
./mergesort;400000;0.130691
./mergesort;500000;0.166425
./heapsort;100000;0.0292243
./heapsort;200000;0.0672659
./heapsort;300000;0.0868167
./heapsort;400000;0.119568
./heapsort;500000;0.171014
./quicksort;100000;0.00972465
./quicksort;200000;0.0192257
./quicksort;300000;0.0299581
./quicksort;400000;0.0393571
./quicksort;500000;0.0491246
./insertionsort;100000;20.9551
./insertionsort;200000;83.6987
./insertionsort;300000;188.922
./insertionsort;400000;334.905
./insertionsort;500000;523.52
./sort;100000;0.0101571
./sort;200000;0.0214913
./sort;300000;0.0338278
./sort;400000;0.0448029
./sort;500000;0.0556151
./timsort;100000;0.0176785
./timsort;200000;0.0380036
./timsort;300000;0.0613914
./timsort;400000;0.0758564
./timsort;500000;0.100669
./mergesort;100000;0.0314478
./mergesort;200000;0.0639899
./mergesort;300000;0.0975367
./mergesort;400000;0.130605
./mergesort;500000;0.164979
./heapsort;100000;0.0266278
./heapsort;200000;0.0556445
./heapsort;300000;0.0890426
./heapsort;400000;0.119587
./heapsort;500000;0.151159
./quicksort;100000;0.0100226
./quicksort;200000;0.0195372
./quicksort;300000;0.0297496
./quicksort;400000;0.039417
./quicksort;500000;0.0495886
./insertionsort;100000;21.1799
./insertionsort;200000;84.3234
./insertionsort;300000;189.454
./insertionsort;400000;337.295
./insertionsort;500000;525.746
./sort;100000;0.0101974
./sort;200000;0.0216891
./sort;300000;0.034045
./sort;400000;0.0457824
./sort;500000;0.0565984
./timsort;100000;0.0179386
./timsort;200000;0.0369591
./timsort;300000;0.0588524
./timsort;400000;0.0822547
./timsort;500000;0.0979462
./mergesort;100000;0.0315393
./mergesort;200000;0.0643698
./mergesort;300000;0.0979365
./mergesort;400000;0.132091
./mergesort;500000;0.173821
./heapsort;100000;0.0288933
./heapsort;200000;0.0565254
./heapsort;300000;0.107263
./heapsort;400000;0.12533
./heapsort;500000;0.151675
./quicksort;100000;0.0100349
./quicksort;200000;0.0194846
