ejecutable;numElementos;tiempo
./mergesort;100000;0.0316007
./mergesort;200000;0.0628441
./mergesort;300000;0.0971507
./mergesort;400000;0.128758
./mergesort;500000;0.160031
./heapsort;100000;0.0277206
./heapsort;200000;0.0568295
./heapsort;300000;0.0892204
./heapsort;400000;0.121196
./heapsort;500000;0.154617
./quicksort;100000;0.00934113
./quicksort;200000;0.0188959
./quicksort;300000;0.0286702
./quicksort;400000;0.0380886
./quicksort;500000;0.0480261
./insertionsort;100000;0.000585114
./insertionsort;200000;0.00096463
./insertionsort;300000;0.00145077
./insertionsort;400000;0.00212437
./insertionsort;500000;0.00255691
./sort;100000;0.0128214
./sort;200000;0.0281286
./sort;300000;0.0405783
./sort;400000;0.0572174
./sort;500000;0.07129
./timsort;100000;0.0107114
./timsort;200000;0.0230061
./timsort;300000;0.0371908
./timsort;400000;0.0493816
./timsort;500000;0.0622877
./mergesort;100000;0.031176
./mergesort;200000;0.06298
./mergesort;300000;0.0970002
./mergesort;400000;0.132877
./mergesort;500000;0.166214
./heapsort;100000;0.0281399
./heapsort;200000;0.0587212
./heapsort;300000;0.0909777
./heapsort;400000;0.124418
./heapsort;500000;0.156209
./quicksort;100000;0.00957331
./quicksort;200000;0.0189776
./quicksort;300000;0.0294466
./quicksort;400000;0.0394689
./quicksort;500000;0.0502132
./insertionsort;100000;0.00048731
./insertionsort;200000;0.000988676
./insertionsort;300000;0.00146941
./insertionsort;400000;0.00196339
./insertionsort;500000;0.00241529
./sort;100000;0.0134332
./sort;200000;0.0294454
./sort;300000;0.042827
./sort;400000;0.0602667
./sort;500000;0.0740036
./timsort;100000;0.0111669
./timsort;200000;0.0239491
./timsort;300000;0.0378768
./timsort;400000;0.0505459
./timsort;500000;0.065859
./mergesort;100000;0.0323549
./mergesort;200000;0.0641536
./mergesort;300000;0.0981827
./mergesort;400000;0.135603
./mergesort;500000;0.167675
./heapsort;100000;0.0283125
./heapsort;200000;0.0609659
./heapsort;300000;0.0916683
./heapsort;400000;0.126909
./heapsort;500000;0.156019
./quicksort;100000;0.00941106
./quicksort;200000;0.0190019
./quicksort;300000;0.0288023
./quicksort;400000;0.0391304
./quicksort;500000;0.0494591
./insertionsort;100000;0.000516434
./insertionsort;200000;0.000973206
./insertionsort;300000;0.00145894
./insertionsort;400000;0.00196639
./insertionsort;500000;0.0024567
./sort;100000;0.0131459
./sort;200000;0.0277678
./sort;300000;0.0416144
./sort;400000;0.057438
./sort;500000;0.0707242
./timsort;100000;0.010962
./timsort;200000;0.0228093
./timsort;300000;0.0367377
./timsort;400000;0.048841
./timsort;500000;0.0622456
./mergesort;100000;0.0312684
./mergesort;200000;0.0641515
./mergesort;300000;0.0965882
./mergesort;400000;0.128133
./mergesort;500000;0.16246
./heapsort;100000;0.0267453
./heapsort;200000;0.0587728
./heapsort;300000;0.0907438
./heapsort;400000;0.122408
./heapsort;500000;0.156501
./quicksort;100000;0.00931299
./quicksort;200000;0.0189927
./quicksort;300000;0.0289942
./quicksort;400000;0.0383266
./quicksort;500000;0.0481261
./insertionsort;100000;0.000481538
./insertionsort;200000;0.000961143
./insertionsort;300000;0.00145063
./insertionsort;400000;0.00193106
./insertionsort;500000;0.00241878
./sort;100000;0.0129159
./sort;200000;0.027391
./sort;300000;0.0415103
./sort;400000;0.0569889
./sort;500000;0.0707616
./timsort;100000;0.0110699
./timsort;200000;0.0236467
./timsort;300000;0.0374512
./timsort;400000;0.0489412
./timsort;500000;0.0616654
./mergesort;100000;0.0312536
./mergesort;200000;0.0634642
./mergesort;300000;0.0971693
./mergesort;400000;0.128029
./mergesort;500000;0.161966
./heapsort;100000;0.0274687
./heapsort;200000;0.0572163
./heapsort;300000;0.0900585
./heapsort;400000;0.123074
./heapsort;500000;0.154909
./quicksort;100000;0.00952231
./quicksort;200000;0.0190916
./quicksort;300000;0.0293854
./quicksort;400000;0.0385421
./quicksort;500000;0.0482462
./insertionsort;100000;0.000501286
./insertionsort;200000;0.000973818
./insertionsort;300000;0.00146972
./insertionsort;400000;0.00194842
./insertionsort;500000;0.00242887
./sort;100000;0.0130476
./sort;200000;0.0277331
./sort;300000;0.0421015
./sort;400000;0.0582362
./sort;500000;0.0708965
./timsort;100000;0.0123484
./timsort;200000;0.0232519
./timsort;300000;0.0378459
./timsort;400000;0.050092
./timsort;500000;0.0628453
./mergesort;100000;0.0322396
./mergesort;200000;0.0631404
./mergesort;300000;0.0953381
./mergesort;400000;0.12852
./mergesort;500000;0.163703
./heapsort;100000;0.0269645
./heapsort;200000;0.0583937
./heapsort;300000;0.0887676
./heapsort;400000;0.121526
./heapsort;500000;0.157051
./quicksort;100000;0.00938483
./quicksort;200000;0.0189604
./quicksort;300000;0.0290647
./quicksort;400000;0.0384714
./quicksort;500000;0.0480402
./insertionsort;100000;0.000475628
./insertionsort;200000;0.000959771
./insertionsort;300000;0.00143106
./insertionsort;400000;0.00193779
./insertionsort;500000;0.0024256
./sort;100000;0.0130122
./sort;200000;0.0276075
./sort;300000;0.0419563
./sort;400000;0.0571678
./sort;500000;0.0710475
./timsort;100000;0.0108489
./timsort;200000;0.0256096
./timsort;300000;0.0368687
./timsort;400000;0.0491888
./timsort;500000;0.061929
./mergesort;100000;0.0358601
./mergesort;200000;0.0635853
./mergesort;300000;0.0965554
./mergesort;400000;0.12858
./mergesort;500000;0.169324
./heapsort;100000;0.0276696
./heapsort;200000;0.0573647
./heapsort;300000;0.0897491
./heapsort;400000;0.120657
./heapsort;500000;0.154729
./quicksort;100000;0.00970552
./quicksort;200000;0.0191322
./quicksort;300000;0.0295347
./quicksort;400000;0.0385437
./quicksort;500000;0.0485614
./insertionsort;100000;0.00047697
./insertionsort;200000;0.000969449
./insertionsort;300000;0.00147847
./insertionsort;400000;0.00195686
./insertionsort;500000;0.00244161
./sort;100000;0.0133941
./sort;200000;0.0277604
./sort;300000;0.04178
./sort;400000;0.0573061
./sort;500000;0.0712688
./timsort;100000;0.0122346
./timsort;200000;0.0230293
./timsort;300000;0.0370753
./timsort;400000;0.0494418
./timsort;500000;0.0626078
./mergesort;100000;0.0315804
./mergesort;200000;0.062863
./mergesort;300000;0.0966536
./mergesort;400000;0.128787
./mergesort;500000;0.167534
./heapsort;100000;0.0279681
./heapsort;200000;0.0589218
./heapsort;300000;0.0892912
./heapsort;400000;0.123423
./heapsort;500000;0.156462
./quicksort;100000;0.00931474
./quicksort;200000;0.0193581
./quicksort;300000;0.0291309
./quicksort;400000;0.0384264
./quicksort;500000;0.0483327
./insertionsort;100000;0.000476138
./insertionsort;200000;0.000965622
./insertionsort;300000;0.00145657
./insertionsort;400000;0.00197586
./insertionsort;500000;0.00239396
./sort;100000;0.0131569
./sort;200000;0.0274656
./sort;300000;0.0418739
